Paper Title,Dataset Name,Method Name,Uncertainty Type (U1/U2/U3),Description
HRBF-Fusion: Accurate 3D Reconstruction from RGB-D Data Using On-the-fly Implicits,TUM RGB-D Dataset,HRBF-Fusion,U3,"Reconstruction quality depends on HRBF fitting, kernel/radius choices, confidence estimation, and registration optimization assumptions."
Tailoring Data Source Distributions for Fairness-aware Data Integration,Multi-source demographic data tables,Cost-aware fairness-aware source-distribution tailoring,U1,Fairness depends on how target demographic distributions and representation requirements are defined.
Tailoring Data Source Distributions for Fairness-aware Data Integration,Multi-source demographic data tables,Cost-aware fairness-aware source-distribution tailoring,U2,"Observed group proportions can be noisy, partial, or unknown for individual sources."
Tailoring Data Source Distributions for Fairness-aware Data Integration,Multi-source demographic data tables,Cost-aware fairness-aware source-distribution tailoring,U3,"Results depend on optimization assumptions, approximation quality, reward design, and cost-function modeling."
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Bernoulli Sampling Skyline,U1,Severity level reported in the extraction sheet: Medium.
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Bernoulli Sampling Skyline,U2,Severity level reported in the extraction sheet: Medium.
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Bernoulli Sampling Skyline,U3,Severity level reported in the extraction sheet: Medium.
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Uniform Sampling Skyline,U1,Severity level reported in the extraction sheet: Medium.
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Uniform Sampling Skyline,U2,Severity level reported in the extraction sheet: Medium.
Sampling-Based Approximate Skyline Query in Sensor Equipped IoT Networks,IoT sensor datasets (actual datasets referenced),Uniform Sampling Skyline,U3,Severity level reported in the extraction sheet: Medium.
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Bone mineral density (DXA) phenotypes,Multi-omics integration workflow for BMD,U1,"The biological meaning and causal direction of microbe-metabolite-BMD relationships remain partly ambiguous, and findings may be cohort-specific."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Bone mineral density (DXA) phenotypes,Multi-omics integration workflow for BMD,U2,"Instrument calibration error, participant positioning variability, and biological variability in DXA measurements."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Bone mineral density (DXA) phenotypes,Multi-omics integration workflow for BMD,U3,"Results depend on linear/correlation-based assumptions, feature-selection thresholds, covariate adjustment, and network construction choices that may miss nonlinear structure."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Shotgun gut metagenome (PRJEB50761),Multi-omics integration workflow for BMD,U1,"The biological meaning and causal direction of microbe-metabolite-BMD relationships remain partly ambiguous, and findings may be cohort-specific."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Shotgun gut metagenome (PRJEB50761),Multi-omics integration workflow for BMD,U2,"Sequencing depth variation, compositional bias, contamination risk, and batch effects in metagenomic profiling."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Shotgun gut metagenome (PRJEB50761),Multi-omics integration workflow for BMD,U3,"Results depend on linear/correlation-based assumptions, feature-selection thresholds, covariate adjustment, and network construction choices that may miss nonlinear structure."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Untargeted serum metabolome profiles,Multi-omics integration workflow for BMD,U1,"The biological meaning and causal direction of microbe-metabolite-BMD relationships remain partly ambiguous, and findings may be cohort-specific."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Untargeted serum metabolome profiles,Multi-omics integration workflow for BMD,U2,"Ion suppression, batch drift, detection limits, peak missingness, and sample-preparation variability."
Integration of the Human Gut Microbiome and Serum Metabolome Reveals Novel Biological Factors Involved in the Regulation of Bone Mineral Density,Untargeted serum metabolome profiles,Multi-omics integration workflow for BMD,U3,"Results depend on linear/correlation-based assumptions, feature-selection thresholds, covariate adjustment, and network construction choices that may miss nonlinear structure."
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,Boston aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U1,What counts as a building boundary or complete structure can vary in complex urban scenes and across scales.
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,Boston aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U2,"Image resolution, shadowing, LiDAR density, and cross-modal alignment affect measurement quality."
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,Boston aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U3,"Performance depends on network architecture, feature-fusion choices, attention design, and training assumptions."
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,WHU aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U1,What counts as a building boundary or complete structure can vary in complex urban scenes and across scales.
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,WHU aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U2,"Image resolution, shadowing, LiDAR density, and cross-modal alignment affect measurement quality."
Multiscale Semantic Feature Optimization and Fusion Network for Building Extraction Using High-Resolution Aerial Images and LiDAR Data,WHU aerial-image and LiDAR building dataset,Multiscale semantic feature optimization and fusion network,U3,"Performance depends on network architecture, feature-fusion choices, attention design, and training assumptions."
